# THE PLATES
#
# One line per version that has a painted plate in docs/art/, written by
# tools/chronicle-art.sh the one time it asked for that version and read by
# tools/chronicle.sh into the chapter. Append-only: a line in here is what
# stops the same commit ever being painted twice, so it is not rewritten and
# it is not reordered. A version with no line simply has no plate.
#
# commit	file	alt text
e799c36095b195f947c8a4b6b6ff81b3df95cdf8	e799c360.jpg	Something out there behaves differently now and will not say so. The difficulty came along for the ride.
5557764e78c863cf73220b6ab4015208b9ecba81	5557764e.jpg	The rules of the field changed while nobody was flying.
7dde509152a6c943224f2b43f0b3da66a18a20d2	7dde5091.jpg	David taught the splash screen the difference between a warning and a trophy.
5d0b9ea028065d7a7a471fb650f325da8f06501b	5d0b9ea0.jpg	The cabinet keeps score with slightly different arithmetic now.
cddc9daf771d22e19e04e835140994067f1976a5	cddc9daf.jpg	The phosphor is a different colour of wrong now. The HUD says so, too.
7d0481cd2e787972367ed4f909aca4828c759ec8	7d0481cd.jpg	Somebody rewrote a rule the game had been taking for granted.
f31b98ce21a132f5ac5dce3f4060a19cf733170e	f31b98ce.jpg	The panels say something different now.
74c62dcd373bf974b011f6eae666f93efe907ad8	74c62dcd.jpg	The bookkeeping of the cabinet moved a foot to the left.
314792090f4cf72e19703e3fc584fc4d2cb717bb	31479209.jpg	The plumbing was rerouted and nothing caught fire.
6b9065f47a3405f7d5f55598314a741cff4c5b0b	6b9065f4.jpg	The splash screen learned the difference between reading and pressing.
9b3013afb5569d9dd0b28875de23954295024a5d	9b3013af.jpg	The HUD is more forthcoming than it used to be.
bb2a685e5f8563abd2cfeedd5937c522e51991bb	bb2a685e.jpg	A rule was taken out, looked at, and put back differently.
2ec32929347de7117b72a79b2166bf7f9ebe2dbd	2ec32929.jpg	The cabinet keeps score with slightly different arithmetic now.
d4dc5431076e2e3c436595df072b6c8a8c642fb5	d4dc5431.jpg	The bookkeeping of the cabinet moved a foot to the left.
d839684c372932563a6a2a5870cc28179bd51453	d839684c.jpg	Somebody rewrote what the cabinet tells you.
84359a281baacd9b075d6febfd5f5cc198f3265b	84359a28.jpg	The scoreboard climbed down off the wall and into the field.
c7f8fbd062a44934e5740346d2775c30d7a0482d	c7f8fbd0.jpg	A new ambush went into the waves, armed against everybody except the pilot who wrote it. An ambush came along with it.
